ADM2_EN,mean_2m_air_temperature,total_precipitation
Qom,303.9002155822821,0.00014302427470035475
Taft,299.402073277297,9.349903238121266e-06
Yazd,302.0350331187492,2.2079096630916515e-05
Khatam,300.27847254701896,6.414113530931692e-08
Mehriz,300.46186372032463,3.7071017851663186e-05
Meybod,301.61168665142867,8.890106389827649e-06
Abarkuh,301.16983795166016,0.0
Ardekan,304.69891712613787,6.780799720130442e-05
Ashkezar,301.7988719386184,2.260123834240651e-05
Bafq,302.8639254500226,9.735935856020305e-05
Bahabad,302.94786825906874,7.026528995527132e-05
Pasargad,296.6265127182007,0.0
Qir-o-Karzin,303.65256426258543,0.0
Rostam,296.35396339283983,0.0
Sarvestan,299.6492208469134,0.0
Sepidan,293.78733234246727,0.0
Shiraz,297.49011440797966,0.0
Zarrindasht,303.03721710080805,0.0
Jahrom,301.26475562534534,0.0
Kavar,298.61865867332176,0.0
Kazerun,302.4294290143447,0.0
Kherameh,299.6353304746339,0.0
Khonj,305.9216059653842,0.0
Khorrambid,295.9756950332732,0.0
Lamerd,305.8114492711887,0.0
Larestan,304.8530185899328,0.0
Mamasani,301.56821760945394,0.0
Marvdasht,295.31124055108364,0.0
Mehr,306.0858136148707,0.0
Abadeh,297.12959165032305,8.725584817405339e-06
Arsanjan,298.1456651415144,0.0
Bavanat,297.7359608763968,0.0
Darab,300.96432023425615,0.0
Eqlid,293.2356786952539,1.2111853406652223e-06
Estahban,300.22502442211464,0.0
Farashband,304.3262108325436,0.0
Fasa,300.32697593186725,0.0
Firuzabad,299.92181955065047,0.0
Gerash,305.27316085152006,0.0
Neyriz,299.4847046859621,0.0
Shirvan-o-Chardavol,298.71714871624323,0.0002638824108078723
Sirvan,300.0275405444235,0.00045432974373607474
Ilam,305.090381831079,0.0001465312080151999
Malekshahi,303.97335737801507,0.00012801202022972474
Mehran,308.4591116931327,7.254707852433572e-05
Abdanan,305.461600479142,1.532601272896888e-05
Badre,300.8706997584869,0.00043886744588479877
Darreh Shahr,303.29040432515114,5.935860724098938e-06
Dehloran,308.75070306775774,8.764472590163605e-06
Eyvan,303.34408368791856,0.00011066958840404238
Tangestan,305.645218193864,0.0
Jam,306.00918347630903,0.0
Kangan,304.873615564925,0.0
Asaluyeh,305.49122720513463,0.0
Bushehr,304.5803820474926,0.0
Dashtestan,305.77010035083526,0.0
Dashti,305.7708824335335,0.0
Dayyer,305.39687658778803,0.0
Deylam,307.09697125077054,0.0
Ganaveh,305.0785539263771,0.0
Pakdasht,300.9647814537868,0.0
Pardis,295.3202792532076,0.00011966662193701518
Pishva,302.1525814658717,0.0
Qarchak,302.56365966796875,0.0
Rey,302.6389311096324,2.6830015442541305e-05
Robat-Karim,301.6649991548978,8.760278041546163e-05
Shahr-e Qods,299.5152282714844,0.00025923363864421844
Shahriar,300.0309091590973,0.00017882730946483383
Shemiranat,290.17661559028465,0.0013329237385138176
Tehran,295.92265386166775,0.0002907072328894898
Varamin,304.786737885865,6.663349439513009e-08
Islamshahr,299.47627119584513,0.0001852481879971244
Malard,301.0179295452095,5.2418399807865625e-05
Baharestan,300.75330200195316,0.00017622970044612883
Damavand,293.59908870123576,0.00019583482465712856
Firuzkuh,291.52502366821534,0.0016769053919009425
Soltanieh,294.486462683135,0.0011375349907984745
Tarom,293.2043163495069,0.0035222889622395876
Zanjan,295.43554053770345,0.0012995629909564085
Khodabandeh,295.78468590912183,0.00030071864397386875
Khorramdarreh,293.8492554412491,0.0013469914081452904
Mahneshan,292.3756597052247,0.0030027914947916685
Abhar,294.5552284824502,0.0007989214521913855
Eejrud,295.458196491775,0.0004301015601295572
Semnan,301.81023498577514,0.0004613344419059063
Shahrud,302.3667838212141,0.0002582150191243467
Sorkheh,302.58299266618354,0.0002860022043143666
Mehdishahr,292.9352063165195,0.0014990688705318685
Meyami,298.3597726912989,7.871703316178579e-05
Aradan,303.2606171976668,1.9696427401224417e-05
Damghan,299.47129426698143,0.0005998811837521301
Garmsar,303.9931435068467,4.251494279089143e-07
Qazvin,294.56128712154964,0.002038968344764013
Takestan,296.3556856263358,0.0005300533536048429
Abyek,297.9434301280442,0.0004946566056772318
Alborz,296.52100662320674,0.0011368323531415726
Avaj,295.52053662993455,0.0001557465078881635
Buin-Zahra,298.8978625660926,0.0001959594372604135
Saveh,298.43232804776517,0.00024751444264806946
Shazand,295.28060772370884,9.794827053228557e-05
Tafresh,298.1855099326686,0.00011533556222828507
Zarandieh,299.1120693023627,0.0001883416447101716
Khomein,295.95678629946053,1.0323234203008584e-05
Khondab,297.34308250554176,9.855991590926478e-05
Komeijan,297.81618415325937,0.00014232964043166317
Mahallat,298.5780861990793,7.236751352811788e-06
Arak,297.005838347186,0.00011176888009744322
Ashtian,297.8276572903158,0.00010882888502075604
Delijan,299.2983388932582,2.684751038622936e-05
Farahan,297.599285054003,9.034638348807637e-05
Razan,295.47200815533074,0.00013335629817209525
Tuyserkan,295.99394394447063,0.00018203450238396375
Hamadan,296.80888872583597,0.00040475117763954567
Kabudarahang,296.01200196416494,0.0001351962405081251
Malayer,296.2757644828173,0.00026398060759394296
Nahavand,296.3746706862903,0.00021573581824343584
Asadabad,295.0439508729062,0.0009674519908188257
Bahar,295.58543520027837,0.0003024826357968588
Famenin,297.2493580669438,9.655471241802251e-05
Rabar,292.00501605264503,1.3157527504208823e-05
Rafsanjan,300.94058764166164,4.6438795702599496e-07
Ravar,304.92553400460895,0.00017846628417721185
Rigan,305.4508783007087,0.0003552330492904576
Roudbar-e-Jonub,307.6709009194719,0.0001016147288110614
Shahr-e-Babak,299.2948139507036,3.0231185949878643e-06
Sirjan,298.75583113845676,2.5131484691783484e-06
Zarand,299.9028618198368,2.903619157346685e-05
Ghaleye-Ganj,307.1995863529102,2.8630193928045462e-05
Jiroft,296.72960620456263,0.000482711383529121
Kahnuj,306.42143670977714,0.00043434059833257285
Kerman,306.148272380257,0.00018564197242384637
Kuhbonan,299.09512514701987,0.00025978261012498543
Manujan,306.53982318909743,0.0001705103715709316
Anar,301.7254311321992,2.3145981022877065e-06
Anbarabad,302.98335160715055,0.00047866600379932613
Arzuiyeh,300.5094624383868,0.00022708760745678106
Baft,296.14911463296755,8.689816027111171e-06
Bam,299.8626670680706,0.0005150443833067994
Bardsir,295.3867394423422,1.2210932501504001e-05
Fahraj,309.88313848916164,9.068421524903504e-06
Faryab,301.8440874640038,0.0005075315562361877
Normashir,308.94129539194677,3.388198006822698e-05
Rasht,296.6478073791888,6.89635072801598e-05
Rezvanshahr,292.5567671563539,0.00542383941131771
Rudbar,295.3377677447423,0.0014664511650941945
Rudsar,294.4588405302842,0.0009025625041584029
Shaft,294.11000008012337,0.0016724273317914211
Siahkal,295.9397628033748,0.0005778078946585212
Some'e-Sara,295.07831749549274,9.746584468162977e-05
Talesh,291.8561505911884,0.007137211588956829
Lahijan,296.98819204477167,5.3917559293600235e-05
Langrud,296.6988060283152,0.00012356903463761441
Masal,292.4379971964976,0.0027205231233259266
Amlash,295.13494280133926,0.00030616943325315207
Astane-ye-Ashrafiyeh,297.02384823973074,2.8559996646905093e-05
Astara,292.78135547009146,0.00035115791955491995
Bandar-e-Anzali,296.1882862618299,6.693415343761443e-05
Fuman,292.67132597014376,0.0011215176249683744
Parsabad,298.7160271538629,3.646924373468543e-05
Sareyn,289.5079040527344,0.002906988374888897
Germi,295.37537691698765,0.0003987460512242395
Khalkhal,293.5382466840663,0.0024621259648031388
Kowsar,293.60545061383937,0.0022530524113348552
Meshginshahr,293.19842584198227,0.001134170227390587
Namin,291.62682694953105,0.0010847636276317125
Ardabil,291.66761956041796,0.001778760898296852
Bilasavar,297.7520230035425,0.000130219035631318
Nir,290.4413874187166,0.0031283678161719486
Semirom,293.37877354523033,0.0
Shahinshahro Meymeh,297.75740848853064,2.0978611440037868e-05
Shahreza,297.48716316888704,2.5874655437206762e-06
Tiran-o-Korun,295.2773758855941,0.00010505025665960186
Golpayegan,296.4077196546421,9.180467789340172e-07
Isfahan,300.7866211633114,1.2357352596857155e-05
Kashan,300.36841075353504,1.2778621070986828e-05
Khansar,294.8981972133991,1.9099788989910146e-05
Khomeinishahr,299.29095458984375,0.0
Khorobiyabanak,305.34099888774125,1.4347914859258127e-06
Lenjan,297.3487658123637,0.0
Mobarakeh,298.6473985722799,0.0
Nain,304.73969801173104,0.00013337394893866804
Najafabad,296.65508924554155,8.41239516023566e-05
Natanz,300.0644946116107,7.545606474170572e-05
Aran-o-Bidgol,305.2182706710709,5.295728145205989e-06
Ardestan,303.25223014871585,0.00018633197546366202
Booeino Miyandasht,292.7773630281774,2.3347698152065275e-05
Borkhar,299.24642492078016,8.423402233375717e-06
Chadegan,291.77138013372036,3.511810115278402e-05
Dehaghan,297.34292872606125,2.1621189286223553e-07
Falavarjan,299.4861414292279,0.0
Faridan,292.7030726252375,0.00010532226816222474
Fereydunshahr,291.75972523095305,2.4283300473748318e-05
Poldokhtar,300.8609198572893,8.158927520226245e-06
Romeshkan,300.72949630073884,2.7579125826773437e-05
Selseleh,295.70082229614263,0.00016708470570544402
Khorramabad,296.61630224387653,5.356038757999297e-05
Kuhdasht,298.90033042132416,0.00010672616820359967
Aligudarz,295.063940023753,7.726102536477839e-06
Azna,295.11965808972633,6.822940430354551e-06
Borujerd,295.0216033608405,0.00021845274597725856
Delfan,296.6860708635087,0.00017409368337247376
Dorud,295.70801338181593,5.207154240799129e-05
Doureh,297.5686810079045,8.55361012316083e-05
Ramian,302.0670994876735,0.0
Gomishan,303.39954169379337,0.0
Gonbad-e-Kavus,305.1652739864068,8.965957613370792e-07
Gorgan,299.3270885396448,2.6154505401294424e-05
Kolaleh,303.4434610606786,5.452445528232015e-06
Kordkuy,298.06149592745135,1.205853793932044e-05
Maravehtapeh,302.58106493949884,1.7423124518245457e-06
Minudasht,302.6547338109817,0.0
Aliabad,300.0267147114623,4.261813746018557e-05
Aqqala,305.36445998646855,0.0
Azadshahr,300.70191546392175,7.310746934826814e-06
Bandar-e-Gaz,298.1723569234212,0.0
Bandar-e-Torkaman,301.04401652018225,0.0
Galikash,302.1884643025481,1.29860820453291e-06
Savojbolagh,296.15677332245144,0.00034591641310041985
Taleghan,293.5850812601098,0.000677970828824894
Karaj,292.6268539821304,0.000922926971577044
Nazarabad,299.60057884038883,9.732517276623451e-05
Eshtehard,300.75224054347706,6.330385259543246e-05
Fardis,300.3168233235677,0.00011746461192766824
Omidiyeh,309.26210275976797,0.0
Ramhormoz,308.59829479152876,0.0
Ramshir,309.5570711070523,0.0
Shadegan,310.50270892252365,7.486006834531787e-07
Shush,310.2175904803806,0.0
Shushtar,309.7247485377074,0.0
Guotvand,308.7019173295808,0.0
Haftgol,309.04130357854507,0.0
Hamidieh,310.9833156462638,0.0
Hendijan,308.32554969787594,0.0
Hoveizeh,311.217678833008,1.762548948193456e-07
Izeh,300.98268659914885,5.0093052934977474e-08
Karoun,310.7760026077916,0.0
Khorramshahr,310.8394681139575,1.7990254951295348e-05
Lali,304.0482729461505,0.0
Mahshahr,308.8967077363797,0.0
Masjed-Soleyman,308.07656148033686,0.0
Abadan,308.894842312065,2.5764809136549455e-08
Aghajari,308.88946672978295,0.0
Ahvaz,310.61859696244636,1.6202389354437172e-07
Andika,301.8912821894108,6.501441416533097e-08
Andimeshk,305.5801992173457,0.0
Baghmalek,304.32236143129063,0.0
Bavi,310.3652608431303,0.0
Behbahan,307.6057931777715,0.0
Dasht-e-Azadegan,311.0350204144836,0.0
Dezful,304.34802608712386,0.0
Parsian,305.45830093383796,0.0
Qeshm,307.20552129572087,0.0
Rudan,305.80546677019527,0.00019684142666543346
Sirik,306.5670155002297,0.0
Hajiabad,302.7993269964332,1.6697739011055977e-06
Jask,307.7362061766663,0.0001852567164102198
Khamir,307.3434122749572,0.0
Minab,307.1226156567771,1.8595703064449255e-07
Abumusa,304.952978515625,0.0
Bandar-Abbas,306.37158723757506,1.9820467488992114e-05
Bandar-Lengeh,306.6830592595483,0.0
Bashagard,305.2097306067162,0.0001430509060602825
Bastak,305.90514625637695,0.0
Qorveh,294.9797689449346,0.000415172861922638
Sannandaj,294.16709093115793,0.001158966223880563
Saqqez,295.1170790097592,0.00043627142408667985
Sarvabad,297.5122005986232,0.0016384923958456983
Kamyaran,295.2416249632681,0.0013987786280312583
Marivan,295.67067940056387,0.0004863465202868048
Baneh,296.3625751216527,0.0005346286149686825
Bijar,294.4268900468046,0.0009331511014809946
Dehgolan,294.8202413467162,0.0007540065605930466
Divandarreh,293.51013022867835,0.0012377623009184996
Northern Savadkooh,297.6801853270328,1.545215104993486e-05
Noshahr,294.8697220390365,0.0010481528392248959
Nur,292.06668716679906,0.0015170895621288711
Qaemshahr,299.61485322538783,0.0
Ramsar,293.9575667223394,0.001078206496868307
Sari,297.31262821870695,2.5248660377281558e-05
Savadkuh,294.40403964195724,0.0006998090251682349
Simorgh,299.48114013671875,0.0
Tonekabon,292.9911941342992,0.0006413686739006829
Juybar,299.39490105124077,0.0
Kelardasht,291.93316815756805,0.0013795518522779341
Mahmudabad,298.3943119227329,0.0
Miandorud,299.2959237328187,9.98298114633815e-07
Abbasabad,295.6969309574416,0.0008765736735668504
Amol,292.2937402390342,0.003370741656661489
Babol,297.5551006323796,5.3671359313720184e-05
Babolsar,299.420891326608,0.0
Behshahr,298.0175535229669,4.5219517272451654e-05
Chalus,292.89061469362485,0.0014203447448253108
Feredunkenar,299.402587890625,0.0
Galugah,298.4853137207031,0.0
Neka,298.30526240000466,0.0
Paveh,300.46017215613165,0.0008715220642360774
Qasr-e-Shirin,309.1697574788003,0.00012147546101554957
Ravansar,296.6158114466174,0.0013660915388629357
Sahneh,296.20107828427666,0.00023985542484546363
Sarpol-e-Zahab,305.17427728459694,0.0002270469786640306
Solas-e-Babajani,302.43889865841004,0.00021194207483711964
Sonqor,294.75104100319317,0.0008217137900230555
Gilan-e-Gharb,305.09585833505906,0.00011012531728424148
Harsin,297.07515718347884,0.0001134296418989406
Islamabad-e-Gharb,297.4286353167366,0.00024941205686213925
Javanrud,299.41552455129187,0.000531725512415755
Kangavar,296.4786926445933,0.00044396470133968856
Kermanshah,297.02271285971034,0.0003006750134571882
Dalaho,299.68990756619365,0.000386223079316238
Quchan,291.87056132370066,0.0009442926730567195
Rashtkhar,301.2057590168982,5.946076204273717e-05
Sabzevar,299.4835547688202,0.00019019373968214297
Sarakhs,301.32051491391826,0.001071971529028446
Taybad,299.30631330752647,0.0006492909794645523
Torbat-e-Heydarieh,295.2126440242638,0.000508999392429961
Torbat-e-Jam,298.14886364293704,0.00017576787862949356
Torghabe-o-Shandiz,293.2032600238169,0.001446789501310824
Zave,294.91843274844587,0.0002421684479404638
Gonabad,302.1448378971897,7.43054658326497e-07
Joghatai,298.8984463786521,0.00014046336420708237
Jowayin,297.58653468452667,0.0002957203924053848
Kalat,296.5104203426476,0.002257934538647532
Kashmar,296.7520166915682,0.0003996459672802604
Khaf,301.68264126523377,0.0001425983520473485
Khalilabad,300.9141008244005,6.35907956391804e-05
Khoshab,296.16647076606745,0.0005254699111295243
Mahvelat,301.08936077287603,0.0002365686962936423
Mashhad,296.0112540124758,0.0013361752610172048
Bajestan,303.81814934038835,3.077283803989934e-05
Bakharz,295.29013394442467,0.0007559322732520268
Bardaskan,301.99908515380946,0.00010304364760185854
Chenaran,292.1193201108895,0.0003905739204432013
Dargaz,295.3829949165423,0.001156163526343237
Davarzan,299.76443527313415,0.00035852001222197666
Fariman,295.7100617923839,0.000631179340394332
Firuzeh,296.5065001405156,0.00020588274115415097
Nishapur,295.5189081248439,0.0006929154747534027
Qaen,299.3754323528659,8.209179761388931e-06
Sarayan,302.2667714910638,2.6902296159365415e-06
Sarbisheh,298.8015715826581,0.00023701858491582576
Tabas,305.8791749254354,1.2142107935113966e-05
Zirkouh,301.0056742519177,5.624344661776871e-06
Khusf,304.63362204129584,1.185673792831233e-06
Birjand,298.1964354170966,3.4572470203502895e-07
Boshruyeh,303.9667346461051,9.085165291297727e-07
Darmian,297.26129995911054,0.00011418891742925073
Ferdows,303.04658802093155,7.998012312806966e-07
Nehbandan,303.1690943653588,0.0003296227922259404
Razo Jalgelan,296.03230535547624,3.999610555309781e-06
Shirvan,293.159510510833,0.0008032723299548424
Germeh,295.89579871283627,0.000197923369705677
Jajrom,297.0620195205603,0.000284911000490778
Maneh-o-Samalqan,298.4087134317675,4.9316883684638605e-06
Bojnurd,294.8684348693764,0.0002132146191286289
Esfarayen,294.79559453202427,0.0012320897406256945
Faroj,292.10925772661227,0.0006526616502352461
Osku,296.60295154051613,0.0010547650233481598
Sarab,291.13334722649563,0.0030529453010897938
Shabestar,295.2386582519988,0.0009803958847017576
Tabriz,294.3510018879182,0.0012391834381721
Varzaqan,291.7998703124514,0.0035700740467059424
Hashtrud,292.71242411897754,0.0014168192646279144
Heris,292.1700954056987,0.0016745853141059655
Jolfa,295.53896471570425,0.0014383642224373512
Kalibar,294.2440390791888,0.001774441017517707
Khodaafarin,295.5492307277913,0.0003626795051290023
Malekan,298.08643515815953,0.00148249039811462
Maragheh,294.0288799038403,0.0014806405601552137
Marand,295.5324611511451,0.0012499692774740956
Mianeh,294.1211582124746,0.002552152886223721
Ahar,291.70412690277686,0.0037767931775476225
Ajabshir,296.36595672815025,0.0026440795536349414
Azarshahr,296.8976257324219,0.0017017347102656084
Bonab,297.79908221938706,0.0011789949684266976
Bostanabad,291.28168652818647,0.00274635036990613
Charuymaq,292.9907794402013,0.0023807089275388574
Oshnaviyeh,292.4568217509502,0.002421844572510392
Piranshahr,293.66375226091867,0.002985142371102193
Poldasht,295.7298506372952,0.0014888390816830018
Salmas,289.5918954298555,0.00217216399749367
Sardasht,296.56766769762766,0.0007406495239273537
Shahindej,296.20875278121656,0.0005162642646493187
Showt,292.7998920147235,0.0036674902607233095
Takab,291.9740272702601,0.00200977671173272
Urumia,292.63229793626437,0.0012703612472127084
Khoy,290.45345640131495,0.0015509982697944592
Mahabad,296.3867552414715,0.0011104992638141715
Maku,291.6148065420298,0.0028546215997686474
Miandoab,297.28434683558453,0.0009365578170820892
Naqadeh,296.3197502430334,0.0017676429227501357
Bukan,296.894275036487,0.0003917077398085808
Chaldoran,288.7010956542384,0.0016064635261321522
Chaypareh,292.8322918126401,0.0034951423816884054
Saravan,304.5138878014978,0.00044129455143654547
Sarbaz,304.8203457396133,0.0001652383193361813
Sibo Soran,302.9498613419998,0.0004520947909305811
Zabol,308.67305108078386,0.0
Zahedan,304.66113333661133,0.00010682934498846895
Zehak,308.89493414696227,0.0
Ghasre Ghand,306.22146567077954,0.0005865905508860347
Hamoun,307.94529211152195,6.625608798502095e-05
Hirmand,308.55948024440454,2.3443956632871886e-06
Iranshahr,306.3591803666856,0.00013000495629211114
Khash,302.47215066608345,0.0002916099568320706
Konarak,307.35257467586604,4.6013905602820064e-05
Mehrestan,303.06005358519064,0.0004239284243582638
Mirjaveh,301.6313638703954,0.0003164016150555703
Chabahar,306.53458600187804,0.00011610278929321933
Dalgan,308.3543532599269,1.6278024821363012e-05
Fanouj,307.27279857967216,8.212780180063261e-05
Nikshahr,306.2663983855679,0.0005359177180879371
Nimrouz,305.9343396932773,0.00020571600602749154
Saman,294.20279930070126,8.57935445001948e-06
Shahrekord,293.2607623459002,1.0699492685135507e-06
Kiaar,293.77848235386074,1.0884663171431131e-07
Kuhrang,294.0145399955854,2.4034361010544923e-06
Lordegan,295.7562820820869,0.0
Ardal,294.4099193567541,7.980408544021955e-07
Ben,291.83088477609965,6.757154077193131e-06
Borujen,294.73747150444547,0.0
Farsan,291.83283348606057,2.29354556564871e-06
Yasooj,294.4330846458784,0.0
Kohgeluyeh,299.35710602671975,0.0
Landeh,300.7150682951275,0.0
Bahmai,304.7710294530459,0.0
Basht,298.41616529915194,0.0
Charam,297.7950828131728,0.0
Dena,293.7703829295075,0.0
Gachsaran,304.6639567227543,0.0
